Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Mg 1',      2512.15300,    2.709, -3.470, 4.180, 1.060,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.17700,    2.709, -5.834, 3.820, 1.040,-5.290, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.20500,    2.709, -3.450, 4.200, 1.030,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.23000,    2.709, -5.814, 3.840, 1.010,-5.300, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.26000,    2.709, -3.430, 4.220, 0.990,-5.310, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.28600,    2.709, -5.794, 3.860, 0.970,-5.320, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.31700,    2.709, -3.409, 4.240, 0.960,-5.320, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.34400,    2.709, -5.774, 3.880, 0.940,-5.330, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.37700,    2.709, -3.388, 4.260, 0.920,-5.330, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.40600,    2.709, -5.750, 3.900, 0.900,-5.340, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.44000,    2.709, -3.366, 4.280, 0.880,-5.340, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.47000,    2.709, -5.732, 3.920, 0.870,-5.350, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.50700,    2.709, -3.344, 4.310, 0.850,-5.360, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.53800,    2.709, -5.710, 3.940, 0.830,-5.360, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.57700,    2.709, -3.322, 4.330, 0.810,-5.370, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.61000,    2.709, -5.688, 3.960, 0.790,-5.370, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.65000,    2.709, -3.299, 4.350, 0.770,-5.380, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.68500,    2.709, -5.666, 3.980, 0.760,-5.390, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.72800,    2.709, -3.276, 4.370, 0.730,-5.390, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.76500,    2.709, -5.643, 4.010, 0.720,-5.400, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.81000,    2.709, -3.253, 4.400, 0.700,-5.400, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.84900,    2.709, -5.620, 4.030, 0.680,-5.410, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.85900,    2.712, -3.560, 3.910, 1.510,-5.140, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.85900,    2.712, -3.861, 3.910, 1.510,-5.140, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.87100,    2.712, -3.871, 3.910, 1.500,-5.150, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.88600,    2.712, -3.544, 3.930, 1.480,-5.150, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.88600,    2.712, -3.845, 3.930, 1.480,-5.150, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.89600,    2.709, -3.229, 4.420, 0.660,-5.420, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.89900,    2.712, -3.855, 3.930, 1.470,-5.160, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.89900,    2.712, -5.605, 3.560, 1.470,-5.160, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.91500,    2.712, -3.527, 3.940, 1.460,-5.160, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.91500,    2.712, -3.828, 3.940, 1.460,-5.160, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.92800,    2.712, -3.838, 3.940, 1.440,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.92900,    2.712, -5.589, 3.580, 1.440,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.93700,    2.709, -5.597, 4.050, 0.640,-5.420, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.94500,    2.712, -3.510, 3.960, 1.430,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
'Mg 1',      2512.94500,    2.712, -3.811, 3.960, 1.430,-5.170, 99.000,'   2 wl:K   2 K   2 gf:K   2 K   2 K   2 K   2 K             Mg'
