Elm Ion,WL_air(A),Excit(eV),log gf,Rad,Star,Waals,Lande,References
'Ca 1',      2128.05181,    1.879, -4.671, 5.650,-2.790,-6.520,  1.200,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2128.13527,    1.899, -5.965, 7.790,-2.580,-6.720,  0.670,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2128.18148,    1.886, -2.812, 7.050,-2.310,-6.480,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2128.31652,    1.899, -1.410, 7.470,-4.650,-6.940,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2128.44342,    1.899, -2.875, 8.110,-3.000,-6.910,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2128.45339,    1.886, -4.855, 6.340,-2.150,-6.440,  1.040,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2128.91941,    1.899, -3.316, 6.490,-2.710,-6.450,  1.610,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2128.96475,    1.899, -2.986, 5.930,-2.040,-6.450,  0.900,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2129.41920,    1.886, -3.382, 6.210,-1.860,-6.440,  1.090,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2129.62789,    1.886, -3.964, 6.160,-2.010,-6.450,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2129.98095,    1.899, -6.090, 7.790,-2.470,-6.720,  1.080,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2130.12883,    1.879, -4.192, 5.780,-1.910,-6.520,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2130.41767,    1.886, -5.031, 5.650,-2.790,-6.520,  1.350,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2130.81450,    1.879, -4.259, 5.610,-2.880,-6.520,  0.800,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2130.83458,    1.899, -3.257, 6.220,-2.100,-6.450,  0.670,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2130.93906,    1.899, -4.018, 6.150,-1.860,-6.450,  1.340,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2131.01720,    1.886, -6.648, 6.550,-2.130,-6.440,  0.370,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2131.14351,    1.899, -3.458, 6.810,-2.440,-6.490,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2131.32164,    1.886, -3.972, 6.520,-2.210,-6.450,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2131.67981,    1.899, -4.544, 5.740,-2.520,-6.450,  0.100,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2131.68435,    1.899, -5.673, 6.270,-2.940,-6.450,  1.850,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2132.30370,    1.886, -3.786, 5.920,-2.710,-6.510,  1.000,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2132.49931,    1.886, -5.849, 5.790,-1.910,-6.520,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2133.18651,    1.886, -4.310, 5.610,-2.880,-6.520,  1.150,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2133.26299,    1.899, -4.688, 6.330,-2.150,-6.440,  1.350,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2134.01447,    1.899, -3.991, 6.460,-1.600,-6.450,  0.670,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2134.08089,    1.879, -4.660, 6.400,-2.300,-6.540,  0.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2134.20219,    1.886, -4.586, 6.470,-2.160,-6.540,  0.850,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2134.23318,    1.899, -5.604, 6.210,-1.860,-6.440,  1.360,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2134.44281,    1.899, -4.479, 6.160,-2.010,-6.450,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2134.96974,    1.879, -4.949, 6.140,-2.340,-6.530,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2135.23617,    1.899, -8.725, 5.650,-2.790,-6.520,  1.650,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2135.26810,    1.899, -3.518, 5.390,-3.590,-6.520,  0.900,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2135.58835,    1.886, -4.749, 6.430,-2.450,-6.520,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2135.83841,    1.899, -5.306, 6.550,-2.130,-6.440,  1.130,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2136.01733,    1.886, -4.629, 6.400,-2.350,-6.520,  1.060,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2136.30210,    1.879, -4.740, 5.230,-2.800,-6.580,  1.210,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2136.46018,    1.886, -4.737, 6.400,-2.300,-6.540,  1.000,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2137.10333,    1.899, -3.829, 6.090,-2.480,-6.510,  0.670,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2137.13074,    1.899, -4.324, 5.920,-2.710,-6.510,  1.330,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2137.13623,    1.886, -3.978, 6.280,-2.260,-6.520,  1.100,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
'Ca 1',      2137.32724,    1.899, -8.161, 5.780,-1.910,-6.520,  1.500,'   1 wl:K07   1 K07   1 gf:K07   1 K07   1 K07   1 K07   1 K07             Ca'
